accident_index,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_imd_decile,driver_home_area_type,vehicle_imd_decile,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_(district),local_authority_(highway),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
201501CW10485,3,9,0,2,0,8,0,0,0,0,1,1,6,1,53,8,2148,2,8,-1,1,-1,2,3,524420,182470,-0.207836,51.527444,1,3,3,2,18/04/2015,7,1899-12-30 14:14:00,1,E09000033,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10486,1,19,0,4,0,8,0,0,0,0,2,1,6,1,35,6,2143,2,3,-1,1,-1,1,2,526190,181690,-0.182614,51.520041,1,2,2,1,16/04/2015,5,1899-12-30 11:21:00,1,E09000033,3,404,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01004757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10486,2,3,0,18,0,8,0,0,0,0,1,1,6,1,26,6,125,1,3,-1,1,-1,1,2,526190,181690,-0.182614,51.520041,1,2,2,1,16/04/2015,5,1899-12-30 11:21:00,1,E09000033,3,404,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01004757,1,1,1,26,6,2,0,0,0,0,0,3,1,3
201501CW10487,1,9,0,10,0,8,0,0,0,0,1,1,6,2,30,6,1598,1,8,-1,1,-1,1,2,525580,181720,-0.19139,51.520447,1,3,2,1,16/04/2015,5,1899-12-30 21:45:00,1,E09000033,3,404,6,30,6,2,3,404,0,5,4,1,1,0,0,1,1,E01032512,1,1,2,30,6,3,0,0,0,0,0,9,1,1
201501CW10487,2,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,1299,1,15,-1,-1,-1,1,2,525580,181720,-0.19139,51.520447,1,3,2,1,16/04/2015,5,1899-12-30 21:45:00,1,E09000033,3,404,6,30,6,2,3,404,0,5,4,1,1,0,0,1,1,E01032512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10488,1,8,0,3,0,8,0,0,0,0,1,1,1,1,71,10,2402,2,9,-1,1,-1,1,2,528330,180240,-0.152314,51.506529,1,3,2,1,17/04/2015,6,1899-12-30 05:00:00,1,E09000033,3,4202,6,30,3,2,3,4202,0,5,4,1,1,0,0,1,1,E01004689,1,3,1,71,10,3,10,9,0,0,2,0,1,7
201501CW10488,2,3,0,5,0,8,0,0,0,0,1,1,2,2,39,7,125,1,1,-1,1,-1,1,2,528330,180240,-0.152314,51.506529,1,3,2,1,17/04/2015,6,1899-12-30 05:00:00,1,E09000033,3,4202,6,30,3,2,3,4202,0,5,4,1,1,0,0,1,1,E01004689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10489,1,9,0,16,0,8,0,0,0,0,2,1,6,2,30,6,1248,2,8,-1,1,-1,1,2,524630,182300,-0.204871,51.52587,1,3,2,1,18/04/2015,7,1899-12-30 11:40:00,1,E09000033,3,404,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004679,1,1,2,30,6,3,0,0,0,0,0,9,1,3
201501CW10489,2,21,0,16,0,8,0,0,0,0,1,1,1,1,45,7,-1,-1,-1,-1,1,-1,1,2,524630,182300,-0.204871,51.52587,1,3,2,1,18/04/2015,7,1899-12-30 11:40:00,1,E09000033,3,404,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01004679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201501CW10490,1,3,0,3,0,8,0,0,0,0,2,1,6,1,20,4,125,1,4,-1,1,-1,1,2,527770,181910,-0.159774,51.521664,1,3,2,1,17/04/2015,6,1899-12-30 02:20:00,1,E09000033,3,41,6,30,6,2,3,501,0,5,4,1,1,0,0,1,1,E01004662,1,1,1,20,4,3,0,0,0,0,0,3,1,3
